2025-01-01 17:12:45 - BLOCKED: 192.168.1.78 -> 255.255.255.255 (Port: 10001, Protocol: udp)
2025-01-01 17:12:47 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:47 - BLOCKED: 192.168.1.195 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:47 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:47 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:47 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:47 - BLOCKED: 192.168.1.195 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:48 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:49 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:50 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:12:51 - BLOCKED: 192.168.1.78 -> 255.255.255.255 (Port: 10001, Protocol: udp)
2025-01-01 17:12:56 - BLOCKED: 192.168.1.78 -> 255.255.255.255 (Port: 10001, Protocol: udp)
2025-01-01 17:13:02 - BLOCKED: 192.168.1.78 -> 255.255.255.255 (Port: 10001, Protocol: udp)
2025-01-01 17:13:07 - BLOCKED: 192.168.1.78 -> 255.255.255.255 (Port: 10001, Protocol: udp)
2025-01-01 17:13:12 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:12 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:13 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:13 - BLOCKED: 192.168.1.78 -> 255.255.255.255 (Port: 10001, Protocol: udp)
2025-01-01 17:13:13 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:13 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:14 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:15 - BLOCKED: 192.168.1.175 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:16 - BLOCKED: 192.168.1.217 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:16 - BLOCKED: 192.168.1.217 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:17 - BLOCKED: 192.168.1.217 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:17 - BLOCKED: 192.168.1.217 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:17 - BLOCKED: 192.168.1.218 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:17 - BLOCKED: 192.168.1.217 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:17 - BLOCKED: 192.168.1.217 -> 224.0.0.251 (Port: 5353, Protocol: udp)
2025-01-01 17:13:18 - BLOCKED: 192.168.1.195 -> 224.0.0.251 (Port: 5353, Protocol: udp)
